timestamp,zone_id,ambient_light_lux,motion_detected,temperature_celsius,occupancy_count,day_of_week,time_of_day,weather_condition,special_event_flag,energy_price_per_kwh,prev_hour_energy_usage_kwh,traffic_density,avg_pedestrian_speed,adjusted_light_intensity,energy_consumption_kwh,lighting_action_class
2024-01-01 00:00:00,3,0.0,0,22.08,7,Monday,Night,Cloudy,0,3.83,3.27,26.0,4.54,54.4,1.144,0
2024-01-01 00:43:00,3,35.78,0,19.19,6,Monday,Night,Cloudy,0,4.61,1.5,18.9,2.42,89.75,2.069,1
2024-01-01 01:27:00,7,0.0,0,27.78,9,Monday,Night,Clear,0,4.21,2.51,27.6,2.85,82.25,1.687,1
2024-01-01 02:11:00,2,0.0,1,33.11,16,Monday,Night,Foggy,0,6.16,0.34,23.1,2.45,72.57,1.631,1
2024-01-01 02:55:00,4,0.0,1,27.07,11,Monday,Night,Clear,0,5.72,1.52,26.4,3.49,78.79,1.737,1
2024-01-01 03:39:00,11,474.19,0,24.95,5,Monday,Night,Cloudy,0,7.09,0.0,14.7,2.91,77.16,1.695,0
2024-01-01 04:22:00,12,0.0,0,21.96,14,Monday,Night,Cloudy,0,7.54,0.0,44.5,2.29,90.58,2.191,1
2024-01-01 05:06:00,10,314.59,1,32.98,11,Monday,Night,Clear,0,5.77,1.46,32.9,4.34,76.98,1.94,0
2024-01-01 05:50:00,7,447.79,0,28.56,9,Monday,Night,Clear,0,6.79,6.6,16.1,4.31,83.53,1.699,1
2024-01-01 06:34:00,2,3366.74,0,31.53,11,Monday,Morning,Clear,0,8.08,0.0,37.5,3.55,46.1,1.05,0
2024-01-01 07:18:00,1,4706.56,1,24.01,9,Monday,Morning,Clear,0,7.3,0.47,17.0,4.07,39.96,0.593,0
2024-01-01 08:01:00,2,6083.33,0,17.15,20,Monday,Morning,Clear,0,5.85,1.47,44.0,3.14,32.85,0.681,0
2024-01-01 08:45:00,10,6919.72,1,19.81,11,Monday,Morning,Foggy,0,5.25,0.0,22.8,3.48,74.91,1.643,1
2024-01-01 09:29:00,1,5325.13,0,29.95,4,Monday,Morning,Clear,0,5.91,2.62,7.4,0.65,46.79,0.903,0
2024-01-01 10:13:00,1,6436.67,0,12.52,2,Monday,Morning,Cloudy,0,6.47,2.64,14.5,2.8,32.24,0.589,2
2024-01-01 10:57:00,10,6546.4,0,24.59,4,Monday,Morning,Foggy,0,5.54,1.43,22.3,1.87,88.65,2.139,1
2024-01-01 11:40:00,4,6932.3,1,29.84,13,Monday,Morning,Rainy,0,6.18,7.35,24.3,1.06,86.07,1.821,1
2024-01-01 12:24:00,5,6141.82,0,14.14,9,Monday,Afternoon,Clear,0,5.77,1.51,26.9,1.96,38.22,0.837,0
2024-01-01 13:08:00,1,8374.45,0,29.8,3,Monday,Afternoon,Clear,0,4.67,2.18,26.2,3.77,64.91,1.703,0
2024-01-01 13:52:00,1,4437.87,0,16.95,4,Monday,Afternoon,Clear,0,4.92,0.89,9.7,3.32,49.53,1.138,0
2024-01-01 14:36:00,5,7501.52,1,9.04,19,Monday,Afternoon,Clear,0,3.61,7.21,34.7,0.68,85.67,2.203,1
2024-01-01 15:19:00,2,7805.81,0,27.87,7,Monday,Afternoon,Rainy,0,3.0,5.98,30.9,2.89,77.47,1.839,1
2024-01-01 16:03:00,8,6065.57,0,17.05,6,Monday,Afternoon,Cloudy,0,4.9,0.95,27.9,1.04,46.93,1.033,0
2024-01-01 16:47:00,4,6434.32,0,26.47,2,Monday,Afternoon,Cloudy,0,3.0,1.13,18.4,3.31,3.93,0.0,2
2024-01-01 17:31:00,3,6336.2,1,26.54,10,Monday,Evening,Clear,0,3.0,1.96,14.0,2.15,83.58,1.927,1
2024-01-01 18:15:00,5,149.15,1,27.88,18,Monday,Evening,Foggy,0,3.0,0.0,25.0,3.97,95.06,2.089,1
2024-01-01 18:58:00,8,0.0,0,21.81,6,Monday,Evening,Rainy,0,3.76,0.0,26.7,2.36,84.17,1.936,1
2024-01-01 19:42:00,3,0.0,0,30.78,1,Monday,Evening,Rainy,0,3.45,5.48,3.2,2.61,85.64,1.731,1
2024-01-01 20:26:00,5,157.9,0,30.23,7,Monday,Evening,Foggy,0,3.0,4.47,25.8,4.52,87.87,1.999,1
2024-01-01 21:10:00,9,0.0,0,27.45,6,Monday,Night,Clear,0,4.17,2.76,21.0,3.72,99.65,1.993,1
2024-01-01 21:54:00,1,0.0,0,34.09,6,Monday,Night,Clear,0,3.86,2.91,13.4,3.05,92.86,2.373,1
2024-01-01 22:37:00,8,443.64,0,32.37,11,Monday,Night,Clear,0,3.95,3.34,20.5,3.31,52.81,1.301,0
2024-01-01 23:21:00,10,539.97,0,25.58,11,Monday,Night,Clear,0,4.6,1.72,38.5,4.15,43.53,1.434,0
2024-01-02 00:05:00,4,22.43,0,16.92,5,Tuesday,Night,Clear,0,4.14,3.14,24.3,4.15,100.0,2.228,1
2024-01-02 00:49:00,5,3.08,0,9.75,10,Tuesday,Night,Rainy,0,5.77,4.78,11.6,0.51,82.99,1.841,1
2024-01-02 01:33:00,7,0.0,0,18.16,7,Tuesday,Night,Clear,0,4.89,1.55,23.3,3.08,57.14,1.452,0
2024-01-02 02:16:00,2,0.0,0,27.55,9,Tuesday,Night,Clear,0,4.24,1.71,33.5,2.06,95.66,2.104,1
2024-01-02 03:00:00,6,552.93,0,21.82,18,Tuesday,Night,Foggy,0,5.57,1.58,19.8,2.15,38.24,0.882,0
2024-01-02 03:44:00,7,775.99,1,28.03,20,Tuesday,Night,Clear,0,6.92,4.07,37.0,3.49,30.64,0.619,0
2024-01-02 04:28:00,12,735.66,1,20.05,27,Tuesday,Night,Rainy,0,5.9,0.0,37.3,4.4,90.77,2.278,1
2024-01-02 05:12:00,3,0.0,0,24.46,5,Tuesday,Night,Rainy,0,6.76,5.09,3.6,3.04,94.2,1.818,1
2024-01-02 05:55:00,2,0.0,0,35.15,11,Tuesday,Night,Clear,0,6.65,0.14,26.8,3.23,92.82,2.163,1
2024-01-02 06:39:00,9,3742.19,0,22.88,3,Tuesday,Morning,Clear,0,5.75,1.68,2.6,2.56,55.58,1.218,0
2024-01-02 07:23:00,4,10748.27,1,30.48,6,Tuesday,Morning,Cloudy,0,5.02,1.45,21.7,1.35,86.46,1.716,1
2024-01-02 08:07:00,11,6082.48,0,26.52,3,Tuesday,Morning,Foggy,0,7.08,4.11,32.3,2.75,79.85,1.36,1
2024-01-02 08:51:00,6,8319.89,0,22.01,10,Tuesday,Morning,Clear,0,5.69,2.21,17.2,4.17,44.26,1.413,0
2024-01-02 09:34:00,1,6248.28,0,21.11,6,Tuesday,Morning,Clear,0,5.0,1.76,16.3,3.41,82.28,1.65,1
2024-01-02 10:18:00,12,7181.55,0,29.0,3,Tuesday,Morning,Rainy,0,5.62,4.72,30.1,2.33,89.44,2.073,1
2024-01-02 11:02:00,3,6102.98,0,29.65,8,Tuesday,Morning,Rainy,0,4.65,4.01,40.1,2.06,44.68,1.016,0
2024-01-02 11:46:00,11,7482.8,0,16.24,5,Tuesday,Morning,Cloudy,0,5.69,0.0,0.3,3.96,49.13,0.753,0
2024-01-02 12:30:00,11,6701.85,0,23.43,8,Tuesday,Afternoon,Clear,0,5.34,2.84,32.8,2.87,37.36,0.884,2
2024-01-02 13:13:00,7,5820.59,0,36.03,10,Tuesday,Afternoon,Clear,0,3.08,3.56,23.9,3.6,41.72,0.681,0
2024-01-02 13:57:00,3,7226.13,0,20.99,4,Tuesday,Afternoon,Clear,0,4.05,5.94,21.7,2.3,53.87,1.25,0
2024-01-02 14:41:00,5,9938.94,0,31.75,8,Tuesday,Afternoon,Rainy,0,5.49,2.51,14.4,0.89,81.24,1.662,1
2024-01-02 15:25:00,12,8583.17,0,35.07,10,Tuesday,Afternoon,Rainy,0,4.26,2.71,33.5,3.35,43.71,1.229,0
2024-01-02 16:09:00,12,4874.57,0,16.59,14,Tuesday,Afternoon,Foggy,0,3.96,0.0,31.2,1.55,82.82,2.131,1
2024-01-02 16:53:00,5,8574.72,0,17.45,7,Tuesday,Afternoon,Clear,0,4.23,0.92,17.3,2.55,49.35,0.719,0
2024-01-02 17:36:00,7,6679.52,1,24.43,5,Tuesday,Evening,Cloudy,0,3.54,1.04,14.6,3.04,49.83,0.852,0
2024-01-02 18:20:00,4,0.0,1,25.77,8,Tuesday,Evening,Rainy,0,3.06,0.0,24.9,3.11,94.58,2.1,1
2024-01-02 19:04:00,11,379.69,0,20.19,3,Tuesday,Evening,Cloudy,0,3.07,6.38,14.8,3.43,60.01,1.299,0
2024-01-02 19:48:00,1,412.18,0,13.11,3,Tuesday,Evening,Clear,0,3.0,0.0,3.1,2.12,56.88,0.89,0
2024-01-02 20:32:00,7,0.0,1,16.23,21,Tuesday,Evening,Clear,0,4.03,2.26,46.8,1.85,86.55,2.204,1
2024-01-02 21:15:00,5,157.09,0,25.45,9,Tuesday,Night,Rainy,0,3.61,1.52,8.2,1.87,89.06,2.099,1
2024-01-02 21:59:00,8,0.0,0,26.6,11,Tuesday,Night,Clear,0,5.9,1.78,14.9,2.97,81.14,1.571,1
2024-01-02 22:43:00,12,0.0,0,21.36,5,Tuesday,Night,Clear,0,3.72,0.54,14.2,1.92,52.55,0.766,0
2024-01-02 23:27:00,7,0.0,0,23.53,5,Tuesday,Night,Clear,0,3.09,0.26,0.9,1.67,98.16,2.058,1
2024-01-03 00:11:00,8,0.0,0,32.83,6,Wednesday,Night,Clear,0,5.17,2.65,17.9,4.05,83.45,1.557,1
